GameId,Games,Year,Season,City
644,2016 Summer,2016,Summer,Rio de Janeiro
645,2016 Summer,2016,Summer,Rio de Janeiro
646,2012 Summer,2012,Summer,London
647,2004 Summer,2004,Summer,Athina
648,2016 Summer,2016,Summer,Rio de Janeiro
649,2000 Summer,2000,Summer,Sydney
650,2008 Summer,2008,Summer,Beijing
651,2004 Summer,2004,Summer,Athina
652,2016 Summer,2016,Summer,Rio de Janeiro
653,2008 Summer,2008,Summer,Beijing
654,2000 Summer,2000,Summer,Sydney
655,2008 Summer,2008,Summer,Beijing
656,2008 Summer,2008,Summer,Beijing
